,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,max thickness,mean thickness,max_kink,abs_val_mean_kink,mean_kink,sum_kink,abs_val_sum_kink,avg_ori,angle_btw,height,phi,theta,coats_orientation,coats_linearity,suture to suture
0,97.98842068,71.93328823,103.9167546,95.61645412,73.71217292,103.4228851,96.63379669,72.65170288,105.137001,3.005755014,3,1,3.061674111,2.86190021,0,0,0,0,0,44.85285345,3.182945829,1.03,42,334,45.2546412,1,0
1,112.8563304,96.47859869,101.2381243,135.8986946,22.76492872,59.91996046,130.9230042,43.09329987,95.70220184,87.58907667,63.77624874,0.973738401,4.603800259,2.736089703,25.14732809,5.275822194,-0.591508473,-20.03511852,164.3236643,2.181118201,178.1533503,1.0525,13,346,87.07059975,1.026969871,1
2,89.63675586,33.81607979,83.22535464,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,83.3073393,68.93180301,0.939122723,5.143176712,2.970866708,31.12900747,4.596271819,-0.377174331,-20.23359634,372.4106868,60.66047838,0,1.0975,24,150,6.704076275,1.064823559,1
3,107.6059171,19.13386316,60.94031357,148.548088,92.91448798,91.88349114,135.8300018,53.84939957,101.0569992,89.8739239,3,0.923608336,4.314634993,3.03510509,54.60839699,6.260796085,-2.372281273,-65.72214173,208.5664129,43.9836731,171.4114401,1.1425,12,242,46.18775141,1.08271002,1
4,102.9695929,87.0020244,103.839996,136.9395438,23.18504257,59.13526824,130.9230042,43.09329987,95.70220184,85.00045538,62.77469919,0.973454511,5.055181906,3.222582534,14.23206117,4.169211197,-0.698115958,-23.74809549,134.1404581,11.25055724,168.7494432,1.15,12,349,80.71477406,1.027269368,1
5,123.6821848,65.55882338,105.294876,162.1287076,45.74745177,61.60171925,146.2440033,41.98469925,87.09339905,61.47940716,43.99626045,0.958489632,4.623803425,2.441388903,43.14351151,7.016940273,-2.852209369,-112.7320661,287.1717556,55.26631138,160.8902455,1.1725,8,162,62.82602928,1.043308103,0
6,154.1260698,56.5549124,88.22943006,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,17.76819974,11.67436623,0.995272115,2.005055183,1.790555919,11.73969476,7.153307919,-3.514885614,-21.08931368,42.91984751,73.13821306,0,1.21,28,147,1.78476132,1.004750344,0
7,142.3945679,104.5513261,88.25468411,90.60027743,27.72829266,74.68041647,140.151001,64.00250244,102.3919983,93.64127153,80.3904947,0.927892707,4.362732959,3.017254281,29.18625962,5.439532922,1.095992242,76.46411701,192.2763338,86.37644318,171.534426,1.2325,27,236,35.04820698,1.077710809,1
8,90.8989147,31.54983539,80.73291215,166.526001,65.31009674,80.27600098,166.526001,65.31009674,80.27600098,82.8216167,59.31711253,0.942881776,4.474438552,2.998274314,20.66106855,5.546909656,0.368382049,11.41984351,171.9541993,63.82908046,0,1.2775,10,74,10.14661119,1.060578352,1
9,128.9458163,55.24173717,102.4176784,112.4487451,96.17700663,101.3512806,122.0770035,75.78669739,107.6449966,44.14733118,28.24931722,0.983313522,4.824792337,3.175724525,19.71526727,6.480916054,-3.538622437,-41.45649009,81.57709949,73.4619676,109.5314076,1.2925,46,270,86.55806203,1.016969642,1
10,138.318374,51.2897023,95.96928548,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,35.86426163,21.62331639,0.982811454,2.868806888,2.016689327,11.73969476,6.535114519,-2.169007753,-21.69007753,65.35114519,65.86790464,0,1.3375,25,164,5.748281509,1.017489159,0
11,86.2318763,84.26498182,101.7039416,162.5617735,46.7283764,60.09026243,146.2440033,41.98469925,87.09339905,94.69397157,83.9241313,0.953032246,5.447616199,3.162243155,14.18091589,3.972980826,-1.4606933,-71.13511968,192.4938945,28.78763064,167.4482615,1.3825,7,137,48.92154932,1.04928244,1
12,156.2655776,57.5243893,86.96498643,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,15.13008916,9.710260387,0.998695142,1.986928791,1.719037115,9.247328354,5.620610741,-3.514885614,-14.05954246,22.48244296,74.50686523,0,1.39,34,154,2.540226141,1.001306563,0
13,116.5547949,18.89793585,60.06317446,103.3785741,88.57692615,103.5280173,123.4759979,59,106.9039993,83.17431722,68.34600944,0.971074202,5.044704347,3.202623244,25.19847337,4.788906538,-2.786596728,-111.5816837,182.1984743,18.23755919,157.7244281,1.4275,35,283,70.90146569,1.029787423,1
14,111.2474895,75.91838644,105.5598917,135.7987085,22.66400699,58.60669414,130.9230042,43.09329987,95.70220184,75.1225269,64.65904576,0.973212235,5.040160174,3.435984112,9.247328354,2.645235056,0.336413908,13.63740064,85.68625918,23.74973842,155.9908931,1.4425,9,353,81.80634247,1.027525101,0
15,104.6517347,89.25592193,103.3330515,140.726625,25.13416226,58.83759643,130.9230042,43.09329987,95.70220184,85.98164509,70.58743652,0.968675741,4.9832142,3.165149269,19.71526727,4.381932254,-0.689165198,-26.84122575,162.0549619,12.61746328,171.9113028,1.45,48,306,81.02477184,1.032337198,1
16,151.6494542,33.4077312,59.00596273,93.93468184,44.49542315,94.63483001,133.2749939,44.52470016,95.55989838,68.72661813,67.94033091,0.96499206,5.864022875,3.082576544,41.0984731,5.388811394,-0.260567189,-9.119851606,188.6083988,42.73717915,132.7450874,1.4875,6,78,37.50117226,1.036277957,1
17,78.34469473,74.23452958,98.47706408,165.1244766,66.18534815,80.41400648,154.3200073,57.16669846,89.73419952,89.00446005,74.29196981,0.882194087,5.610733374,2.974088319,20.71221383,4.330592754,-1.946160874,-81.00229475,197.4786273,37.96928166,165.4391685,1.5025,39,186,25.84816333,1.133537409,1
18,136.4402638,22.98068911,59.63258778,150.8515942,86.89928117,92.99006498,137.1470032,54.05479813,100.3529968,73.52546592,55.52037437,0.919503315,4.332826634,2.230674307,43.59083951,4.607954005,1.368553168,47.63587437,133.4374037,15.92401065,158.9507506,1.5175,10,193,61.02959695,1.08754366,1
19,102.4374118,20.01356134,62.75033947,160.0339966,76.05249786,89.64569855,160.0339966,76.05249786,89.64569855,84.74130824,68.30604643,0.681152481,4.321112239,3.104195995,20.71221383,6.943380513,1.690599657,59.170988,243.018318,55.7334176,0,1.51,37,198,31.94977834,1.468100063,1
20,101.9901644,87.70604349,103.6934895,164.1145146,51.88345281,60.81206733,134.220993,45.93320084,96.01830292,83.55542627,62.39099457,0.960800752,5.097657496,2.31342207,35.66641229,4.245507904,-1.806555116,-68.61069085,150.4366405,25.61623431,164.4100728,1.5325,2,207,54.28160821,1.040798519,1
