,RPA nodes x,RPA nodes y,RPA nodes z
0,123.584,47.5945015,97.5154037
1,141.024994,25.7416,63.9651985
2,117.525002,88.606102,103.014
3,84.1647034,74.3803024,100.513
4,115.032997,32.2321014,86.6427994
5,90.5379028,64.9644012,101.935997
6,100.336998,76.5770035,104.367996
7,96.4397964,60.4059982,102.045998
8,115.442001,33.3031006,88.0616989
9,123.283997,46.6374016,96.8219986
10,102.966003,36.0509987,91.410202
11,92.2231979,78.0606003,102.882004
12,128.779999,49.414299,100.155998
13,135.177002,81.6134033,101.346001
14,128.141006,99.9807968,94.3125
15,89.5428009,55.8956985,100.103996
16,158.166,58.7706985,85.8562012
17,104.195999,24.4025993,74.0138016
18,141.537003,57.4398003,97.1560974
19,123.989998,100.747002,94.9915009
20,94.8880997,60.3815002,101.712997
21,95.767601,59.8749008,103.042
22,135.315994,34.1817017,84.683197
23,153.078003,39.4669991,74.5737991
24,95.2132034,61.6842003,103.151001
25,94.2985992,61.8263016,102.096001
26,95.6489029,61.8539009,102.146004
27,99.1203003,76.5114975,104.477997
28,115.570999,19.3757992,62.6329994
29,90.4996033,56.2631989,100.716003
30,125.360001,78.2452011,104.345001
31,145.682999,86.0710983,95.2115021
32,124.630997,70.9940033,104.482002
33,136.330994,81.2581024,101.010002
34,130.388,57.3675003,103.547997
35,130.044998,50.8236008,98.2232971
36,125.322998,44.6379013,95.2011032
37,126.724998,46.5144997,98.1493988
38,132.826004,49.7627983,98.4805984
39,126.265999,95.1925964,99.1931
40,127.690002,57.344101,102.726997
41,113.375999,80.6732025,104.668999
42,134.406998,49.0712013,95.8195038
43,133.238998,48.5135002,95.6496964
44,143.850006,63.075901,97.3609009
45,127.245003,57.5742989,104.389
46,125.851997,57.2823982,104.822998
47,117.365997,103.126999,96.7603989
48,118.838997,40.4943008,95.4169998
49,144.227005,41.2123985,86.4626007
50,106.434998,89.3859024,103.226997
51,127.498001,38.3830986,91.717598
52,127.135002,60.2168007,103.775002
53,135.962997,47.1010017,94.3766022
54,124.052002,66.1446991,104.716003
55,143.307999,39.4215012,85.2470016
56,85.4506989,83.9103012,101.445999
57,130.636993,97.3203964,96.7001038
58,131.227997,96.1425018,97.1919022
59,131.162003,25.4841995,72.7841034
60,101.348999,40.0028992,93.8252029
61,130.139008,25.9083996,73.7677994
62,88.3386993,69.3937988,101.551003
63,143.031998,71.5646973,98.9764023
64,121.128998,102.352997,95.4585037
65,132.216995,86.1695023,100.918999
66,140.533005,50.1260986,94.5123978
67,138.285004,47.7434006,94.0802994
68,139.102997,49.0247002,94.4835968
69,141.0,32.8356018,79.6718979
70,131.434006,87.8147964,100.541
71,92.9329987,60.1267014,101.807999
72,98.7617035,52.1680984,98.9139023
73,114.339996,27.3659992,78.9865036
74,136.143997,37.8815002,88.4845963
75,150.100998,45.3975983,84.7874985
76,90.3768005,57.5872002,101.120003
77,127.722,46.5023003,95.6518021
78,112.450996,24.0708008,75.7378006
79,124.919998,96.4525986,99.1812973
80,130.550003,98.3304977,94.3430023
81,142.809998,52.7966003,94.2099991
82,121.581001,34.6265984,89.8412018
83,91.3349991,75.4035034,102.299004
84,89.1076965,57.0634003,100.414001
85,90.2898026,58.1377983,99.8520966
86,131.052994,49.5311012,99.2320023
87,130.701004,51.7891006,98.7093964
88,132.436996,52.6850014,98.6095963
89,100.621002,38.7136993,92.5362015
90,130.548004,101.249001,94.4616013
91,83.5341034,70.6788025,100.331001
92,99.4374008,25.8971996,76.9710999
93,147.220001,47.0746994,88.8525009
94,127.408997,60.1792984,104.782997
95,95.6998978,44.6366997,94.9160004
96,92.8955002,75.2656021,103.026001
97,92.5482025,76.6701965,102.838997
98,101.021004,75.6567993,104.040001
99,109.981003,22.0407009,69.8331985
100,109.740997,20.5489998,66.6596985
101,96.5363998,49.0634995,98.5804977
102,110.740997,87.4627991,103.545998
103,120.752998,39.4031982,93.3376007
104,118.394997,39.604599,94.3457031
105,103.901001,21.9463997,68.7260971
106,159.324997,60.297699,85.6734009
107,159.205002,58.5702019,84.8581009
108,114.542,82.1612015,104.458
109,109.788002,20.0331993,64.7416992
110,133.591003,58.0085983,102.528
111,105.887001,55.4954987,102.428001
112,127.828003,32.3964005,85.5402985
113,124.653,56.6268005,104.887001
114,124.388,54.9737015,104.532997
115,123.057999,56.2579994,103.417999
116,93.9030991,58.7383003,101.001999
117,107.247002,81.8863983,104.793999
118,105.759003,82.036499,104.735001
119,123.558998,102.722,94.4324036
120,90.101799,81.1528015,102.481003
121,89.3014984,79.3747025,102.094002
122,83.9875031,71.9541016,100.407997
123,121.081001,19.6362,63.1124992
124,122.958,54.782299,104.597
125,82.5217972,71.4084015,100.094002
126,99.9325027,36.1128998,90.4035034
127,124.503998,104.382004,93.8382034
128,124.439003,103.348999,93.9720001
129,90.3124008,32.3721008,81.5137024
130,113.429001,20.1186008,64.5652008
131,113.683998,20.6665993,66.8358002
132,95.8826981,36.8123016,90.6657028
133,107.582001,20.2409992,65.0832977
134,127.209999,50.8036995,99.4376984
135,164.526001,52.9219017,69.6051025
136,144.313995,69.0763016,98.0979996
137,95.2049026,63.5896988,102.394997
138,94.8998032,63.021801,103.212997
139,90.5061035,79.3402023,102.361
140,129.115997,24.7098007,72.2903976
141,81.0369034,72.5548019,99.7453995
142,125.139,65.9602966,104.533997
143,128.442993,23.8868999,70.9447021
144,126.032997,23.4398994,70.7702026
145,140.608994,64.7600021,100.582001
146,105.339996,38.6361008,91.7684021
147,122.438004,62.2416992,104.668999
148,134.102997,47.3278999,95.4393005
149,137.738998,34.2832985,83.5155029
150,96.2460022,58.1327019,102.864998
151,110.967003,23.5583,74.9292984
152,109.059998,85.7561035,104.044998
153,110.055,85.0510025,104.188004
154,155.634003,81.5512009,91.2500992
155,124.250999,72.9498978,104.487
156,146.029007,77.3264999,96.3099976
157,154.453003,82.7782974,91.8491974
158,135.132004,66.0863037,102.919998
159,143.264999,26.8369999,61.8195992
160,145.738998,71.2974014,96.8565979
161,97.803299,62.678299,103.727997
162,118.222,32.2723999,88.1023026
163,111.093002,24.7035007,74.1467972
164,143.860001,67.4557037,98.4291
165,84.5968018,86.2966003,101.324997
166,123.987999,104.954002,95.1091003
167,124.250999,103.603996,95.5929031
168,129.084,98.634697,94.6190033
169,129.852005,100.195999,93.8019028
170,142.759003,41.1750984,87.9026031
171,81.6246033,71.4375,99.8524017
